id	domain_name	start	end	evalue	score	description
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Helicase_C	3417	3455	2.1e-10	41.1	Helicase conserved C-terminal domain
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	DEAD	1810	1944	4.7e-10	39.7	DEAD/DEAH box helicase
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	DEAD	1981	2039	4.7e-10	39.7	DEAD/DEAH box helicase
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	RdRP_1	3516	3680	5.7e-09	35.5	Viral RNA-dependent RNA polymerase
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Flavi_DEAD	1804	1945	1.1e-08	35.4	Flavivirus DEAD domain
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	Flavi_DEAD	1986	2008	1.1e-08	35.4	Flavivirus DEAD domain
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	RdRP_4	3545	3678	0.0024	17.2	Viral RNA-directed RNA-polymerase
NC_076032.1/1-11694/Bovine_viral_diarrhea_virus_2_strain_XJ-04	ResIII	1797	1941	0.0088	16.2	Type III restriction enzyme, res subunit
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Peptidase_S31	1713	1922	5.9e-68	228.8	Pestivirus NS3 polyprotein peptidase S31
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Pestivirus_E2	950	1189	8.6e-37	127.1	Pestivirus envelope glycoprotein E2
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Peptidase_C53	31	101	5.5e-25	88.3	Pestivirus Npro endopeptidase C53
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Peptidase_C53	167	293	5.5e-25	88.3	Pestivirus Npro endopeptidase C53
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	RdRP_3	3562	3806	1.6e-17	63.7	Viral RNA dependent RNA polymerase
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Flav_NS3-hel_C	2257	2397	6e-11	42.6	Flavivirus NS3 helicase, C-terminal helical domain
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Capsid_pestivir	301	350	1.5e-10	41.1	Capsid protein C, pestivirus
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Helicase_C	2109	2222	5.4e-10	39.8	Helicase conserved C-terminal domain
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	RdRP_1	3607	3743	1.1e-09	37.9	Viral RNA-dependent RNA polymerase
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Peptidase_C74	1487	1643	1.5e-08	34.7	Pestivirus NS2 peptidase
NC_077000.1/1-11970/Rodent_pestivirus_isolate_RtAp-PestV/JL2014_polyprotein_(QKT81_gp1)_gene	Peptidase_C74	2755	2808	1.5e-08	34.7	Pestivirus NS2 peptidase
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Peptidase_S31	1734	1944	3.5e-75	252.4	Pestivirus NS3 polyprotein peptidase S31
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Pestivirus_E2	950	1204	1e-42	146.6	Pestivirus envelope glycoprotein E2
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Peptidase_C53	58	117	2.1e-22	79.9	Pestivirus Npro endopeptidase C53
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Peptidase_C53	159	305	2.1e-22	79.9	Pestivirus Npro endopeptidase C53
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	RdRP_3	3589	3834	4.3e-22	78.8	Viral RNA dependent RNA polymerase
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Flav_NS3-hel_C	2278	2417	2.7e-13	50.2	Flavivirus NS3 helicase, C-terminal helical domain
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Helicase_C	2130	2243	6.6e-10	39.5	Helicase conserved C-terminal domain
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	RdRP_1	3646	3813	1.3e-09	37.6	Viral RNA-dependent RNA polymerase
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Peptidase_C74	1500	1662	2.2e-08	34.1	Pestivirus NS2 peptidase
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Peptidase_C74	2775	2829	2.2e-08	34.1	Pestivirus NS2 peptidase
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Capsid_pestivir	311	362	2.3e-08	34.1	Capsid protein C, pestivirus
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	RdRP_4	3676	3829	2.2e-06	27.2	Viral RNA-directed RNA-polymerase
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Flavi_NS5	2909	2935	0.0056	15.6	Flavivirus RNA-directed RNA polymerase, fingers and palm domains
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	Flavi_NS5	3648	3728	0.0056	15.6	Flavivirus RNA-directed RNA polymerase, fingers and palm domains
NC_077001.1/1-12072/Rodent_pestivirus_isolate_RtNn-PestV/HuB2014_polyprotein_(QKT82_gp1)_gene	ResIII	1939	2086	0.0061	16.8	Type III restriction enzyme, res subunit
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	Peptidase_S31	1329	1511	3.6e-45	154.4	Pestivirus NS3 polyprotein peptidase S31
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	RdRP_3	3222	3449	1.5e-20	73.6	Viral RNA dependent RNA polymerase
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	Pestivirus_E2	850	941	1.5e-13	50.7	Pestivirus envelope glycoprotein E2
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	RdRP_1	3257	3399	1.3e-08	34.3	Viral RNA-dependent RNA polymerase
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	Flavi_DEAD	1545	1686	2.5e-07	31.1	Flavivirus DEAD domain
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	Helicase_C	1728	1839	1.1e-06	29.2	Helicase conserved C-terminal domain
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	Flavi_NS5	3284	3371	0.0014	17.5	Flavivirus RNA-directed RNA polymerase, fingers and palm domains
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	Flavi_NS5_thumb	3433	3509	0.0024	18.1	Flavivirus RNA-directed RNA polymerase, thumb domain
NC_077015.1/1-10992/Bat_pestivirus_BtSk-PestV-1/GX2017_polyprotein_(QKT96_gp1)_gene	Capsid_pestivir	211	246	0.0038	17.4	Capsid protein C, pestivirus
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Pestivirus_E2	690	1060	8.1e-168	558.3	Pestivirus envelope glycoprotein E2
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Peptidase_S31	1585	1796	4.7e-137	454.6	Pestivirus NS3 polyprotein peptidase S31
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Peptidase_C74	1318	1518	1.7e-94	315.3	Pestivirus NS2 peptidase
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Peptidase_C53	0	168	2.4e-78	261.9	Pestivirus Npro endopeptidase C53
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Flav_NS3-hel_C	2129	2270	4.6e-30	104.6	Flavivirus NS3 helicase, C-terminal helical domain
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	RdRP_3	3455	3683	4.6e-24	85.3	Viral RNA dependent RNA polymerase
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Capsid_pestivir	169	225	1.1e-23	83.1	Capsid protein C, pestivirus
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	DEAD	1808	1942	5.6e-10	39.5	DEAD/DEAH box helicase
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	DEAD	1981	2037	5.6e-10	39.5	DEAD/DEAH box helicase
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Flavi_DEAD	1802	1943	1.6e-09	38.2	Flavivirus DEAD domain
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Helicase_C	1825	1863	3.3e-09	37.2	Helicase conserved C-terminal domain
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Helicase_C	1980	2095	3.3e-09	37.2	Helicase conserved C-terminal domain
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	RdRP_1	3493	3676	8.3e-08	31.7	Viral RNA-dependent RNA polymerase
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	RdRP_4	3499	3632	0.00018	20.9	Viral RNA-directed RNA-polymerase
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	Flavi_NS5_thumb	3668	3743	0.00046	20.4	Flavivirus RNA-directed RNA polymerase, thumb domain
NC_077023.1/1-11685/Pestivirus_sp._isolate_ovine/It/338710-3/2017_polyprotein_(QKU04_gp1)_gene	ResIII	1796	1939	0.00071	19.8	Type III restriction enzyme, res subunit
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Peptidase_S31	1569	1775	3e-106	353.9	Pestivirus NS3 polyprotein peptidase S31
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Pestivirus_E2	683	1045	1.2e-74	251.7	Pestivirus envelope glycoprotein E2
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Peptidase_C53	3	163	2.7e-47	160.8	Pestivirus Npro endopeptidase C53
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Peptidase_C74	1345	1502	5e-43	147.2	Pestivirus NS2 peptidase
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Peptidase_C74	2612	2669	5e-43	147.2	Pestivirus NS2 peptidase
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Peptidase_C74	3189	3234	5e-43	147.2	Pestivirus NS2 peptidase
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	RdRP_3	3433	3670	5.4e-23	81.7	Viral RNA dependent RNA polymerase
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Flav_NS3-hel_C	1298	1322	3.5e-17	62.8	Flavivirus NS3 helicase, C-terminal helical domain
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Flav_NS3-hel_C	2113	2255	3.5e-17	62.8	Flavivirus NS3 helicase, C-terminal helical domain
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Capsid_pestivir	168	213	6.7e-13	48.6	Capsid protein C, pestivirus
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Capsid_pestivir	1738	1766	6.7e-13	48.6	Capsid protein C, pestivirus
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Helicase_C	1798	1832	1.2e-09	38.6	Helicase conserved C-terminal domain
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Helicase_C	1964	2079	1.2e-09	38.6	Helicase conserved C-terminal domain
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	Helicase_C	3391	3434	1.2e-09	38.6	Helicase conserved C-terminal domain
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	DEAD	1792	1924	1.3e-09	38.3	DEAD/DEAH box helicase
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	DEAD	1966	2021	1.3e-09	38.3	DEAD/DEAH box helicase
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	RdRP_1	3433	3615	1.3e-08	34.4	Viral RNA-dependent RNA polymerase
NC_077024.1/1-11613/Dongyang_pangolin_virus_isolate_DYAJ1	ResIII	1791	1923	0.00015	22.0	Type III restriction enzyme, res subunit
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Peptidase_S31	1448	1658	3.8e-105	350.3	Pestivirus NS3 polyprotein peptidase S31
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Pestivirus_E2	538	912	7.3e-98	328.1	Pestivirus envelope glycoprotein E2
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Peptidase_C74	1184	1380	2.1e-47	161.5	Pestivirus NS2 peptidase
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	RdRP_3	3317	3562	1.8e-21	76.7	Viral RNA dependent RNA polymerase
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Flav_NS3-hel_C	1992	2134	1.6e-18	67.2	Flavivirus NS3 helicase, C-terminal helical domain
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Capsid_pestivir	21	75	4.4e-17	62.0	Capsid protein C, pestivirus
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Capsid_pestivir	3389	3412	4.4e-17	62.0	Capsid protein C, pestivirus
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	DEAD	1671	1803	2.7e-09	37.3	DEAD/DEAH box helicase
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	DEAD	1836	1900	2.7e-09	37.3	DEAD/DEAH box helicase
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Helicase_C	1838	1958	4.1e-09	36.9	Helicase conserved C-terminal domain
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Helicase_C	3277	3316	4.1e-09	36.9	Helicase conserved C-terminal domain
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	RdRP_1	3357	3498	2.3e-07	30.2	Viral RNA-dependent RNA polymerase
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Flavi_NS5_thumb	1376	1400	0.0011	19.1	Flavivirus RNA-directed RNA polymerase, thumb domain
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	Flavi_NS5_thumb	3531	3612	0.0011	19.1	Flavivirus RNA-directed RNA polymerase, thumb domain
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	ResIII	1664	1802	0.0023	18.1	Type III restriction enzyme, res subunit
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	ResIII	1840	1873	0.0023	18.1	Type III restriction enzyme, res subunit
NC_077026.1/1-11286/Phocoena_pestivirus_isolate_NS170385	RdRP_4	3382	3496	0.0037	16.5	Viral RNA-directed RNA-polymerase
NC_038912.1/1-11697/Classical_swine_fever_virus	Pestivirus_E2	690	1060	1.6e-163	544.1	Pestivirus envelope glycoprotein E2
NC_038912.1/1-11697/Classical_swine_fever_virus	Peptidase_S31	1589	1800	3.8e-136	451.6	Pestivirus NS3 polyprotein peptidase S31
NC_038912.1/1-11697/Classical_swine_fever_virus	Peptidase_C74	1322	1522	2.4e-94	314.8	Pestivirus NS2 peptidase
NC_038912.1/1-11697/Classical_swine_fever_virus	Peptidase_C53	0	168	3e-81	271.3	Pestivirus Npro endopeptidase C53
NC_038912.1/1-11697/Classical_swine_fever_virus	Peptidase_C53	3478	3493	3e-81	271.3	Pestivirus Npro endopeptidase C53
NC_038912.1/1-11697/Classical_swine_fever_virus	Flav_NS3-hel_C	2133	2274	1.7e-28	99.4	Flavivirus NS3 helicase, C-terminal helical domain
NC_038912.1/1-11697/Classical_swine_fever_virus	RdRP_3	3459	3692	4.2e-25	88.7	Viral RNA dependent RNA polymerase
NC_038912.1/1-11697/Classical_swine_fever_virus	Capsid_pestivir	170	225	2.7e-24	85.1	Capsid protein C, pestivirus
NC_038912.1/1-11697/Classical_swine_fever_virus	Flavi_DEAD	1806	1947	5.6e-10	39.7	Flavivirus DEAD domain
NC_038912.1/1-11697/Classical_swine_fever_virus	Flavi_DEAD	1986	2011	5.6e-10	39.7	Flavivirus DEAD domain
NC_038912.1/1-11697/Classical_swine_fever_virus	DEAD	1812	1946	6.9e-10	39.2	DEAD/DEAH box helicase
NC_038912.1/1-11697/Classical_swine_fever_virus	DEAD	1984	2041	6.9e-10	39.2	DEAD/DEAH box helicase
NC_038912.1/1-11697/Classical_swine_fever_virus	Helicase_C	1829	1867	3.3e-09	37.3	Helicase conserved C-terminal domain
NC_038912.1/1-11697/Classical_swine_fever_virus	Helicase_C	1983	2099	3.3e-09	37.3	Helicase conserved C-terminal domain
NC_038912.1/1-11697/Classical_swine_fever_virus	Helicase_C	3417	3457	3.3e-09	37.3	Helicase conserved C-terminal domain
NC_038912.1/1-11697/Classical_swine_fever_virus	RdRP_1	3518	3680	9e-09	34.9	Viral RNA-dependent RNA polymerase
NC_038912.1/1-11697/Classical_swine_fever_virus	RdRP_4	3505	3637	0.00016	21.0	Viral RNA-directed RNA-polymerase
NC_038912.1/1-11697/Classical_swine_fever_virus	Flavi_NS5_thumb	3672	3743	0.00036	20.8	Flavivirus RNA-directed RNA polymerase, thumb domain
NC_038912.1/1-11697/Classical_swine_fever_virus	ResIII	1802	1943	0.0011	19.1	Type III restriction enzyme, res subunit
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	Peptidase_S31	1319	1529	4.4e-52	176.9	Pestivirus NS3 polyprotein peptidase S31
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	RdRP_3	3193	3421	2.5e-20	73.0	Viral RNA dependent RNA polymerase
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	Pestivirus_E2	778	935	2.3e-15	56.6	Pestivirus envelope glycoprotein E2
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	Helicase_C	1715	1830	3.8e-09	37.1	Helicase conserved C-terminal domain
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	DEAD	1542	1676	8.6e-09	35.6	DEAD/DEAH box helicase
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	DEAD	1714	1772	8.6e-09	35.6	DEAD/DEAH box helicase
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	Flavi_DEAD	1535	1676	1e-06	29.1	Flavivirus DEAD domain
NC_038964.1/1-10908/Porcine_pestivirus_1_strain_000515_polyprotein_mRNA	RdRP_1	3231	3413	4.1e-06	26.1	Viral RNA-dependent RNA polymerase
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Pestivirus_E2	694	1062	1.7e-173	576.9	Pestivirus envelope glycoprotein E2
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Peptidase_S31	1663	1874	2.1e-139	462.2	Pestivirus NS3 polyprotein peptidase S31
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Peptidase_C74	1396	1596	4.1e-98	327.1	Pestivirus NS2 peptidase
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Peptidase_C53	0	168	1.7e-85	285.2	Pestivirus Npro endopeptidase C53
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Peptidase_C53	3551	3567	1.7e-85	285.2	Pestivirus Npro endopeptidase C53
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Flav_NS3-hel_C	2207	2348	1.6e-30	106.0	Flavivirus NS3 helicase, C-terminal helical domain
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Capsid_pestivir	173	227	6.1e-27	93.6	Capsid protein C, pestivirus
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	RdRP_3	3533	3760	5.5e-24	85.0	Viral RNA dependent RNA polymerase
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Helicase_C	2058	2173	2.2e-09	37.8	Helicase conserved C-terminal domain
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	Helicase_C	3493	3531	2.2e-09	37.8	Helicase conserved C-terminal domain
NC_039237.1/1-11922/Bovine_viral_diarrhea_virus_2_polyprotein_gene	DEAD	1886	2017	3.2e-09	37.0	DEAD/DEAH box helicase
