Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_025677,Norway rat pestivirus,RefSeq,GCF_000926015.1,"Firth,C., Bhat,M., Firth,M.A., Williams,S.H., Frye,M.J., Simmonds,P., Conte,J.M., Ng,J., Garcia,J., Bhuva,N.P., Lee,B., Che,X., Quan,P.L., Lipkin,W.I., Conte,J., Bhuva,N., Quan,P.-L.","National Center for Biotechnology Information, NIH",USA,2014-11-19,NrPV/NYC-D23,Norway rat pestivirus,12983,complete,"USA: New York, New York City",NY,Rattus norvegicus,,2013-06-30
NC_024018,Pronghorn antelope pestivirus,RefSeq,GCF_000919835.1,"Neill,J.D., Ridpath,J.F., Fischer,N., Grundhoff,A., Postel,A., Becher,P., Vilcek,S., Van Campen,H., Cavender,J.L., Warg,J., Boatwright,W.D. Jr., Cavendish,J.","National Center for Biotechnology Information, NIH",USA,2014-04-21,,Pestivirus antilocaprae,12273,complete,USA,,Antilocapra americana,,
NC_023176,Porcine pestivirus isolate Bungowannah,RefSeq,GCF_000916775.1,"Kirkland,P.D., Frost,M.J., Finlaison,D.S., King,K.R., Gu,X.","National Center for Biotechnology Information, NIH",USA,2014-01-02,Bungowannah,Pestivirus australiaense,12656,complete,Australia,,,,
NC_018713,Aydin-like pestivirus,RefSeq,GCF_000899315.1,"Becher,P., Schmeiser,S., Oguzoglu,T.C., Postel,A.","National Center for Biotechnology Information, NIH",USA,2012-10-04,,Pestivirus aydinense,12292,complete,Turkey,,Ovis aries,,2004
NC_012812,Bovine viral diarrhea virus 3 Th/04_KhonKaen,RefSeq,GCF_000885615.1,"Liu,L., Kampa,J., Belak,S., Baule,C.","National Center for Biotechnology Information, NIH",USA,2009-06-17,,Pestivirus brazilense,12337,complete,Thailand,,Bos taurus,,2004
NC_002657,Classical swine fever virus,RefSeq,GCF_000864685.1,"Mayer,D., Thayer,T.M., Hofmann,M.A., Tratschin,J.D., Thayer,T.T.","National Center for Biotechnology Information, NIH",USA,2001-01-28,,Pestivirus suis,12301,complete,,,,,
NC_003678,Pestivirus giraffe-1 H138,RefSeq,GCF_000852085.1,"Avalos-Ramirez,R., Orlich,M., Thiel,H.J., Becher,P., Kosmidou,A., Konig,M., Baroth,M., Thiel,H.-J.","National Center for Biotechnology Information, NIH",USA,1999-10-16,giraffe-1 H138,Pestivirus giraffae,12602,complete,,,Giraffa camelopardalis,,
NC_003679,Border disease virus,RefSeq,GCF_000862865.1,"Becher,P., Orlich,M., Thiel,H.J., Shannon,A.D., Tautz,N., Thiel,H.-J.","National Center for Biotechnology Information, NIH",USA,1998-05-15,,Pestivirus ovis,12333,complete,,,,,
NC_001461,Bovine viral diarrhea virus 1,RefSeq,GCF_000861245.1,"Colett,M.S., Larson,R., Gold,C., Strick,D., Anderson,D.K., Purchio,A.F.","National Center for Biotechnology Information, NIH",USA,1993-08-02,,Pestivirus bovis,12573,complete,,,,,
PQ476186,Bovine viral diarrhea virus 1,GenBank,,"Gao,S., Wang,J.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory for Animal Disease Control and Prevention",China,2024-11-11,NX2019/02,Pestivirus bovis,12114,complete,China,,Bos taurus,,2019-04
PQ351751,Bovine viral diarrhea virus 3,GenBank,,"Liu,Y., Wang,X., Chen,H.","College of Veterinary Medicine, Henan Agricultural University",China,2024-10-14,BVDV-385,Pestivirus brazilense,12288,complete,China,,Bos taurus,feces,2023-07
PQ362002,Bovine viral diarrhea virus 3,GenBank,,"Shi,H., Wang,L., Zhai,H., Li,D.","China-UK-NYNU-RRes Joint Libratory of Insect Biology, Nanyang Normal University., Henan Key Laboratory of Insect Biology in Funiu Mountain",China,2024-10-09,HN2009,Pestivirus brazilense,12291,complete,China,,Ovis aries,,2020
PQ362003,Bovine viral diarrhea virus 3,GenBank,,"Shi,H., Wang,L., Zhai,H., Li,D.","China-UK-NYNU-RRes Joint Libratory of Insect Biology, Nanyang Normal University., Henan Key Laboratory of Insect Biology in Funiu Mountain",China,2024-10-09,HN2132,Pestivirus brazilense,12170,complete,China,,Ovis aries,,2021
PQ362004,Bovine viral diarrhea virus 3,GenBank,,"Shi,H., Wang,L., Zhai,H., Li,D.","China-UK-NYNU-RRes Joint Libratory of Insect Biology, Nanyang Normal University., Henan Key Laboratory of Insect Biology in Funiu Mountain",China,2024-10-09,HN2168,Pestivirus brazilense,12288,complete,China,,Ovis aries,,2021
PQ362005,Bovine viral diarrhea virus 3,GenBank,,"Shi,H., Wang,L., Zhai,H., Li,D.","China-UK-NYNU-RRes Joint Libratory of Insect Biology, Nanyang Normal University., Henan Key Laboratory of Insect Biology in Funiu Mountain",China,2024-10-09,HN2247,Pestivirus brazilense,12286,complete,China,,Ovis aries,,2022
PQ362006,Bovine viral diarrhea virus 3,GenBank,,"Shi,H., Wang,L., Zhai,H., Li,D.","China-UK-NYNU-RRes Joint Libratory of Insect Biology, Nanyang Normal University., Henan Key Laboratory of Insect Biology in Funiu Mountain",China,2024-10-09,HN2319,Pestivirus brazilense,12166,complete,China,,Ovis aries,,2023
PQ362007,Bovine viral diarrhea virus 3,GenBank,,"Shi,H., Wang,L., Zhai,H., Li,D.","China-UK-NYNU-RRes Joint Libratory of Insect Biology, Nanyang Normal University., Henan Key Laboratory of Insect Biology in Funiu Mountain",China,2024-10-09,HN2423,Pestivirus brazilense,12169,complete,China,,Ovis aries,,2024
PQ382802,Bovine viral diarrhea virus 1,GenBank,,"Lin,H.","Inner Mongolia Agricultural University, College of Veterinary Medicine",China,2024-10-02,,Pestivirus bovis,12268,complete,China,,Bos taurus,lung,2024-03
PQ282313,Classical swine fever virus,GenBank,,"Jang,G., Lee,C.","Gyeongsang National University, College of Veterinary Medicine and Virus Vaccine Research Center",South Korea,2024-09-25,GNU-240601,Pestivirus suis,12297,complete,South Korea,,Sus scrofa,,2024-06-01
PQ197220,Pestivirus O,GenBank,,"Sozzi,E., Chiapponi,C.","IZSLER, Istituto Zooprofilattico Sperimentale della Lombardia e dell'Emilia Romagna",Italy,2024-09-14,IT-2021-60514-45,Pestivirus O,12265,partial,Italy,,Ovis aries,,2021
OR428229,Classical swine fever virus,GenBank,,"Patil,S.S., Suresh,K.P., Akshatha,V., DheerajReddy,B.N., Mouna,V., Manjunatha,J., Hiremath,J., Siju,S.J., ChethanKumar,H.B., Shivasharanappa,N., Gulati,B.R.","ICAR National Institute of Veterinary Epidemiology and Disease Informatics (NIVEDI), Virology",India,2024-08-15,2639/2014,Pestivirus suis,12216,complete,,,,,
PP812599,Pestivirus sp.,GenBank,,"Koester,J., Salditt,A., Hoeper,D., Schneider,K., Beer,M., Miller,T., Wernike,K.","Friedrich-Loeffler-Institut, Institute of Diagnostic Virology",Germany,2024-08-15,VI958 2023BVD03439,Pestivirus sp.,12253,complete,Germany,,Bos taurus,,2023
PP812600,Pestivirus sp.,GenBank,,"Koester,J., Salditt,A., Hoeper,D., Schneider,K., Beer,M., Miller,T., Wernike,K.","Friedrich-Loeffler-Institut, Institute of Diagnostic Virology",Germany,2024-08-15,VI1861 2023BVD08322,Pestivirus sp.,12285,complete,Germany,,Bos taurus,,2023
PP992316,Bovine viral diarrhea virus 1,GenBank,,"Lin,H.","Inner Mongolia Agricultural University, College of Veterinary Medicine",China,2024-07-14,,Pestivirus bovis,12289,complete,China,,Bos taurus,lung,2023-12
LC780768,Classical swine fever virus,GenBank,,"Yamashita,M., Yamamoto,K., Oba,M.","Assay Division I, Viral Assay Section I; Tokura 1-15-1, Kokubunji, Tokyo 185-8511",Japan,2024-06-29,,Pestivirus suis,12245,complete,Japan,,Sus scrofa,,2019-04
PP856398,Bovine viral diarrhea virus 1,GenBank,,"Zhang,y.","Nanjing Agricultural University, College of Veterinary medicine",China,2024-06-18,,Pestivirus bovis,11819,partial,China,,Bos taurus,,2023-02-20
PP856399,Bovine viral diarrhea virus 1,GenBank,,"Zhang,y.","Nanjing Agricultural University, College of Veterinary medicine",China,2024-06-18,,Pestivirus bovis,12120,partial,China,,Bos taurus,,2023-02-27
PP856400,Bovine viral diarrhea virus 1,GenBank,,"Zhang,y.","Nanjing Agricultural University, College of Veterinary medicine",China,2024-06-18,,Pestivirus bovis,12129,partial,China,,Bos taurus,,2023-04-25
PP856401,Bovine viral diarrhea virus 1,GenBank,,"Zhang,y.","Nanjing Agricultural University, College of Veterinary medicine",China,2024-06-18,,Pestivirus bovis,12223,partial,China,,Bos taurus,,2023-05
PP856402,Bovine viral diarrhea virus 1,GenBank,,"Zhang,y.","Nanjing Agricultural University, College of Veterinary medicine",China,2024-06-18,,Pestivirus bovis,12271,partial,China,,Bos taurus,,2023-05-27
PP823882,Bovine viral diarrhea virus 2,GenBank,,"Wang,P.","Yangzhou University, College of Veterinary Medicine",China,2024-05-27,BVDV-2/JS-2/2023,Pestivirus tauri,12207,complete,China,,Bos taurus,"liver, abdominal cavity",2023-05-01
PP770551,Bovine viral diarrhea virus 1,GenBank,,"Cui,X.Y., Xie,R.J., Zhu,P., Yao,J., Chen,Y.Q., Yan,R.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Diseases Laboratory",China,2024-05-18,YN2-11/2023,Pestivirus bovis,12263,complete,China,,Bos taurus,feces,2023
PP706246,Bovine viral diarrhea virus 1,GenBank,,"Bi,J.M., Zhang,F.","China Animal Health And Epidemiology Center, Livestock Disease Surveillance Laboratory",China,2024-04-29,,Pestivirus bovis,12446,complete,China,,Bos taurus,blood,2023
PP663643,Pestivirus sp.,GenBank,,"Deng,L.S., Xu,Z.W., Zhu,L.","Sichuan Agriculture University, College of Veterinary Medicine",China,2024-04-24,SCQS,Pestivirus sp.,12574,complete,China,,Sus scrofa,blood,2023-05-18
PP680566,Bovine viral diarrhea virus 1,GenBank,,"Bi,J.M., Zhang,F.","China Animal Health And Epidemiology Center, Livestock Disease Surveillance Laboratory",China,2024-04-22,SDNF9,Pestivirus bovis,12232,complete,China,,Bos taurus,,2023
PP488512,Bovine viral diarrhea virus 1b,GenBank,,"Cui,Y.X., Xie,J.R., Zhu,P., Yao,J.","Yunnan Animal Science and Veterinary Institute, Yunnan Tropical and Subtropical Animal Virus Diseases Laboratory",China,2024-03-26,YN1-05/2023,Pestivirus bovis,12267,partial,China,,Bos taurus,feces,2023
OR951160,Pipistrellus bat pestivirus,GenBank,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,JX2020_272_10413,Pipistrellus bat pestivirus,11918,partial,China,,Pipistrellus abramus,swab,2020
OR951162,Rhinolophus bat pestivirus,GenBank,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,LN2020,Rhinolophus bat pestivirus,11540,partial,China,,Rhinolophus ferrumequinum,swab,2020
OR951165,Scotophilus bat pestivirus,GenBank,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,HI2018,Scotophilus bat pestivirus,10962,partial,China,,Scotophilus kuhlii,swab,2018
OR951167,Scotophilus bat pestivirus,GenBank,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,GD2017,Scotophilus bat pestivirus,11408,partial,China,,Scotophilus kuhlii,swab,2017
OR951170,Pipistrellus bat pestivirus,GenBank,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,JX2020_163_7340,Pipistrellus bat pestivirus,11797,partial,China,,Pipistrellus abramus,swab,2020
OR951171,Pipistrellus bat pestivirus,GenBank,,"Wang,Y., Xu,P., Han,Y., Zhao,W., Zhao,L., Li,R., Zhang,J., Zhang,S., Lu,J., Jin,Q., Wu,Z.","Institute of Pathogen Biology Chinese Academy of Medical Sciences and Peking Union Medical College, Pathogen Biology",China,2024-03-19,JX2020_166_32085,Pipistrellus bat pestivirus,10627,partial,China,,Pipistrellus abramus,swab,2020
PP277983,Bovine viral diarrhea virus 1,GenBank,,"Gao,S.","Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Etiological Biology, National Foot and Mouth Disease Reference Laboratory",China,2024-02-14,NX2023,Pestivirus bovis,12174,complete,China,,Bos taurus,blood,2023-07
PP213451,Bovine viral diarrhea virus 1b,GenBank,,"Cheng,J., Zhang,Y.Y., Liu,W.X., Jiang,B., Zhou,L.Y., Li,Y.Q.","BAAFS Institute of Animal Husbandry and Veterinary Medicine, Research Center for Infectious Diseases in Livestock and Poultry",China,2024-02-06,,Pestivirus bovis,12246,complete,China,,Bos taurus,feces,2021
PP209410,Classical swine fever virus,GenBank,,"Choudhury,F.A., Rajkhowa,T.K., Kiran,J.","C. V. Sc & A. H., Central Agricultural University, Veterinary Pathology",India,2024-02-05,CSFV/ASM/IND/L1,Pestivirus suis,12301,complete,India: Lakhimpur,,Sus scrofa,,2021-09-12
PP209411,Classical swine fever virus,GenBank,,"Choudhury,F.A., Rajkhowa,T.K., Kiran,J.","C. V. Sc & A. H., Central Agricultural University, Veterinary Pathology",India,2024-02-05,CSFV/ASM/IND/S1,Pestivirus suis,12301,complete,India: Dhemaji,,Sus scrofa,,2022-06-22
PP209412,Classical swine fever virus,GenBank,,"Choudhury,F.A., Rajkhowa,T.K., Kiran,J.","C. V. Sc & A. H., Central Agricultural University, Veterinary Pathology",India,2024-02-05,CSFV/ASM/IND/S2,Pestivirus suis,12301,complete,India: Sonapur,,Sus scrofa,,2023-07-12
OR195698,Classical swine fever virus,GenBank,,"Guo,Z. Sr.","Henan Academy of Agricultural Sciences, Henan Provincial Key Laboratory of Animal Immunology",China,2024-01-13,CSFV/HeNLY2022,Pestivirus suis,11821,partial,China,,Sus scrofa,lymph,2022-07-16
OR997840,Classical swine fever virus,GenBank,,"Hinojosa,Y., Liniger,M., Gerber,M., Coronado,L., Frias,M.T., Perera,C.L., Ganges,L., Ruggli,N.","Institute of Virology and Immunology IVI, Virology",Switzerland,2024-01-10,CSFV/Margarita/1958,Pestivirus suis,12298,complete,Cuba,,Sus scrofa domesticus,,1958
OP649599,Bovine viral diarrhea virus 1,GenBank,,"Lee,E.-Y., Park,S.-J., Lee,K.-K., Ku,B.-K., Jeoung,H.-Y.","Animal and Plant Quarantine Agency, Animal Disease Diagnostic Division",,2024-01-07,19Q060,Pestivirus bovis,12112,complete,South Korea,,Bos taurus,fetus,2019
ON676186,Bovine viral diarrhea virus 1,GenBank,,"Lee,E.-Y., Park,S.-J., Park,J.-Y., Lee,K.-K., Ku,B.-K., Jeoung,H.-Y.","Animal and Plant Quarantine Agency, Animal Disease Diagnostic Division",,2023-12-09,,Pestivirus bovis,11697,complete,South Korea,,Bos taurus,,2018
ON676187,Bovine viral diarrhea virus 1,GenBank,,"Lee,E.-Y., Park,S.-J., Park,J.-Y., Lee,K.-K., Ku,B.-K., Jeoung,H.-Y.","Animal and Plant Quarantine Agency, Animal Disease Diagnostic Division",,2023-12-09,,Pestivirus bovis,11697,complete,South Korea,,Bos taurus,,2018
ON676188,Bovine viral diarrhea virus 2,GenBank,,"Lee,E.-Y., Park,S.-J., Park,J.-Y., Lee,K.-K., Ku,B.-K., Jeoung,H.-Y.","Animal and Plant Quarantine Agency, Animal Disease Diagnostic Division",,2023-12-09,,Pestivirus tauri,11694,complete,South Korea,,Bos taurus,,2019
OR827365,Bovine viral diarrhea virus 3,GenBank,,"Cui,H.L., Yang,Y., Jia,H.M.","University, School of Life Sciences, Inner Mongolia University",China,2023-12-05,CNIM-2201,Pestivirus brazilense,12087,partial,China,,Bos taurus,,2022
OQ032517,atypical porcine pestivirus,GenBank,,"Song,H., Gao,X., Fu,Y., Li,J., Fan,G., Shao,L., Zhang,J., Qiu,H.J., Luo,Y., Qiu,H.-J.","Chinese Academy of Agricultural Sciences, State Key Laboratory of Veterinary Biotechnology, Harbin Veterinary Research Institute",China,2023-12-03,,Pestivirus scrofae,11511,complete,China,,Sus scrofa,,2017
OR753412,Bovine viral diarrhea virus 1,GenBank,,"Xie,J.","Xinjiang Agricultural University, Laboratory of Animal Etiology and Epidemiology, College of Veterinary Medicine",China,2023-11-12,BI-2023,Pestivirus bovis,12273,complete,China,,Bos taurus,,2022
OR683432,Bovine viral diarrhea virus 1,GenBank,,"Park,G.N., Shin,J., Choe,S., Kim,K.S., Kim,J.J., Lim,S.I., An,B.H., Hyun,B.H., An,D.J., Park,G.-N., Kim,K.-S., Kim,J.-J., Lim,S.-I., An,B.-H., Hyun,B.-H., An,D.-J.","Animal and Plant Quarantine Agency, Virus Disease Division",,2023-11-05,KD26,Pestivirus bovis,12307,complete,South Korea,,Bos taurus,feces,2005
OR670331,Bovine viral diarrhea virus 1,GenBank,,"Shin,J., Park,G.-N., Choe,S., Kim,K.-S., Kim,J.-J., Lim,S.-I., An,B.-H., Hyun,B.-H., An,D.-J.","Animal and Plant Quarantine Agency, Virus Disease Division",,2023-10-31,KD26,Pestivirus bovis,11697,partial,South Korea,,Bos taurus,feces,2005
OR611923,Bovine viral diarrhea virus 1,GenBank,,"Huang,C.-W., Chuang,Y.-C., Ting,L.-J., Lee,F.","Veterinary Research Institute, Ministry of Agriculture, Animal Disease Diagnosis Division",Taiwan,2023-10-28,18H17,Pestivirus bovis,12238,partial,Taiwan,,Bos taurus,,2018-02-27
OR482980,Bovine viral diarrhea virus 1,GenBank,,"Lv,X.Y., Kai,L., Bo,W.S.","Inner Mongolia Minzu University, College of Animal Science and Technology",China,2023-10-16,,Pestivirus bovis,12248,partial,China,,Bos taurus,feces,2021
OR620202,Bovine viral diarrhea virus 1,GenBank,,"Maya,L., Panzera,Y., Ruben,P., Marandino,A., Colina,R.","CENUR Litoral Norte - Centro universitario Salto, Laboratorio de virologia molecular",Uruguay,2023-10-06,,Pestivirus bovis,12279,partial,Uruguay,,Bos taurus,,2015
OR620203,Bovine viral diarrhea virus 1,GenBank,,"Maya,L., Panzera,Y., Ruben,P., Marandino,A., Colina,R.","CENUR Litoral Norte - Centro universitario Salto, Laboratorio de virologia molecular",Uruguay,2023-10-06,,Pestivirus bovis,12213,partial,Uruguay,,Bos taurus,,2016
OR459954,Classical swine fever virus,GenBank,,"Zhang,F., Dong,Y., Cui,J., Zhang,H.","China Animal Health and Epidemiology Center, Department of Livestock Diseases Surveillance",China,2023-10-04,,Pestivirus suis,12222,complete,China,,Sus scrofa,,2018
OP288966,Pangolin pestivirus,GenBank,,"Gong,W., Mi,S., Jiang,J., Tu,C.","Jilin University, College of Veterinary Medicine",China,2023-08-30,PPeV-GX-2020,Pangolin pestivirus,12024,complete,China: Guangxi,,Manis javanica,oronasopharynx,2020
ON732849,Bovine viral diarrhea virus 1,GenBank,,"Yang,S., Chen,J., Zhang,L., Yang,H.","Institute of Animal Science and Veterinary Medicine Shandong Academy of Agricultural Science, Shandong Key Lab of Animal Disease Control and Breeding",China,2023-08-22,SDJN01,Pestivirus bovis,12294,complete,China,,Bos taurus,feces,2016
OQ883956,Classical swine fever virus,GenBank,,"Yu,S., Yin,Y.G., Xian,W.X.","Yunnan Agricuture University, College of Veterinary Medicine",China,2023-08-19,,Pestivirus suis,12288,complete,China,,Sus scrofa,,2022
OQ784258,Bovine viral diarrhea virus 1,GenBank,,"Alexeyenkova,S.V., Kapustin,A.V., Gulyukin,A.M.","Federal State Budget Institution ""Federal Scientific Center VIEV"", Virology, Protozoology",Russia,2023-08-05,,Pestivirus bovis,11968,partial,Russia,,Bos taurus,,2023
OR004805,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2101,Pestivirus bovis,12038,complete,China,,Bos taurus,blood,2021-01-05
OR004806,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2102,Pestivirus bovis,12007,complete,China,,Bos taurus,blood,2021-01-05
OR004807,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2103,Pestivirus bovis,12037,complete,China,,Bos taurus,blood,2021-01-31
OR004808,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2104,Pestivirus bovis,11999,complete,China,,Bos taurus,blood,2021-02-04
OR004809,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2105,Pestivirus bovis,12039,complete,China,,Bos taurus,blood,2021-02-04
OR004810,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2106,Pestivirus bovis,12007,complete,China,,Bos taurus,blood,2021-01-30
OR004811,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2107,Pestivirus bovis,12038,complete,China,,Bos taurus,blood,2021-01-30
OR004812,Bovine viral diarrhea virus 1,GenBank,,"Wu,Y., Zhang,G., Jiang,H., Xin,T., Jia,L., Zhang,Y., Yang,Y., Qin,T., Xu,C., Cao,J., Ameni,G., Ahmad,A., Ding,J., Li,L., Ma,Y., Fan,X., Yuan,L.","Hebei Agricultural University, Veterinary Medicine",China,2023-08-01,TJ2108,Pestivirus bovis,12001,complete,China,,Bos taurus,blood,2021-01-31
